,input,label
0,"... HAARI RIA KIJAMAMAAN ANNI KWA KUWA NAWA Kaimu katimu Mkuu Mk Wizara ya Ujenzi, Uchukuzi na Mawasiliawas ( Mawasiliano ) Dkt. Injinia Maria Sasa Sa akiishukuish kampuni ya Bharti Airtel kwa kuu kwa kuua 35 ili Serikali iwezeweendeleza mikakati yake ya yakemarisha mariCL. Prof. Tolly Tolbwete, M, Miti wa Boi wa TTCL ( wa kwanza kulia ) na Bw",0.0
1,"watu kwamba waigizaji wa kiume na wa kike wanaotoa burudaruda, kwa idadi kubwa zaidi ni Wayahuahu. Basi utaona vikundi vya watu kwa mamilioilio milangoni mwa majumba ya sinema saa zote za mchanchan na naiku,, maan maana ya ya msurururu wanadamu usiokwisha kwenye kila kona ya makazi ya nchi, inafaa ku kuamu ni naniiew eeleka huko, ni nani anayeshughulika juuka akili z",1.0
2,"tunaposema mtu fulani ni m ma, haina maana hata kidogo kwamba hanaaaya. Anayo. Lakiniima ma ni mengi kiasi kwamba mabaya yake hayaonekani. Na tunaposemaatu fulani ni mwovu au mbaya, hain hainaa a hana mema. Ana Ana. Il Il mabaya yake ni mengi ki ki kwamba yanafufu me memayo nayo..sa, mat mat yanayoonekanakana U Ulamu na nchi za Kiisisu,",0.0
3,NI MIPPA AATOTOOANAPENENA YWA MISHONSH YA KITENGE! Afrika! Afrika Habari yabariifa ya Masharikia Kati Habari ya Mbeya Habey za utbarii waali Ha wa za utali za wa ndani na Tembea na Tem Hatma ya kesi ya Kenyatta Ku Kenyattambe ya Afrika madiliko ya tabia yako MA tabWA YA KULEVYA MADAWAVA KULEVYA 1ULGAZYI YA MIZEZ Y Ma MI,0.0
4,"ya Muungano ya ya Bara ; iv ) Gharama za Mambo ya yayo ya yaungano ya Tanzania Bara hayako bayanaa Aidha, haiku bayana ni kiasi gani cha mapa mapato Muungano kinatumatumika kusha shughuli zisizo za Muungano kwa Tanzania Bara ; v ) Stahiki aukii la kila laande kutokana na mapato na ghto na za kuasha shugh sh za Muungano ha Muungan kuwekwa bayana. Kwa madhumuni ya kujenga ms ku mzur ms wa Mj",0.0
5,"kabi kabi kwa Seoul, Korea Korea Kusini Kushirikii Picha M Mho wa wambi : Novemba 25, 2015 Mkutano wa Kimataifa wa wajana wa Eco wa Eco ya ya ( GYELSEL ni m nio kamili kami kujenga uwezo wa uongoziongo mazingira unaoz unatiaigha mbalimbali za kukuza viongozi wa baadaye waliohudhuria mpangia wa CSR wa Uhandisi wa Samsung - kizazi cha Eco. Kiongozi kijana ali kialikwa atash",0.0
6,"ni hala hala kutawala kwa sasa - Mchachazi. NA NAIVUNIA KUFANANA KAZI CHINI Y Y RAIS MAGGUL U ANIYEFANYAN MAAMUZIZI WAKAA [UNK]....keo ya awali ya uchaguzigu. Kwa.ari za kitaifa na kimata kim, biashara, bu, bu na michezo. Breaking News zote zoazipata hapa. hapadhali endelea kutembele ku tovuti hii. Ikiwa Dirisha Dogo la Usaoi lime",0.0
7,au imekamilika..akati mtiine uhusiana na tovuti zingine. Kuweko kwa viungo vingine kwenye tovuti hii si thi hiisho kuwa ubia wa Mradi wa Mrya Bora ya yaadaye kwambakubaliweza na maoni ya tovuti hizivuti ama kwamba unachukua wajibu wajib. Si lazima Siwe za watweamu au zenye mawaiye yawaiheria kuwa Ukihitaji mashauri maalum wasiliana wakati wowote na mtaalamu mwenye ujuzi,0.0
8,"Berhaneyesususerew Souraphiel aliyeyeza muda wake wa uongoongo kwa kipindi cha miaka minne, tarehe 21 21 2018 2018emtangaza Askofof Charles Kasonde, kuwa kuwawenyekiti mpya wa AMECEA kwa kipindi cha miaka cha kuanz ku sasa na Padre Anthony Makunde kutoka Mbeyabeya ameteuliwa kuwa Katibu mkuubu AMECEA. Shirikishoish Mabara Ma ya Maaskofu Katolikfu Afrika Mashariki na Kati, AMEC AM,",0.0
9,"wa kisiasa na demokrasia ya juu si hapapa kui hadi nchi jirani na za mbali. Pamoja na pongezi hizi zo zo, wasi wasii je, hekima, busaraara,krasi kr na fik na pevu vilivyojitokezaokele Dodom Do, vitaendelea hadi uchaguzi mkuu? mkuutegemee kuwa na uchaguzi wa haki, huru nauni? Uchagucha usio usio vitisho, rushwa,hwaendeleo, ukabila na udini? Ucha U",1.0
10,"ku kua. Plugin hii kazi kwa kiwango wotete.Press : maoni, kuingia, kuonadikisha na waliopotea pass pass na hata unaweza ku ku na aina ainaturi pia..zingira kwa aj kwa ya kila aina inaweza inawezaaked na kimeundwadwoja mmoja. Kuona kazi mifano, bonye, hapa kuona mfano wa msingi Ka ms wewe kama hii Plugin, kindly kiwango hilo. Itakuwa kuwahamawaha yangu ya kuongeza utendaji zaidi kwa",0.0
11,"kodi ya mapa mapa wanayolipapa binafsi ushuru wa forodha ushuru wa bidhaa zinazotentenza hapa nchini zin zinazomia na forodha wanayo wao. Bandari mambo ya yaa Posta na nau wanayo wao..mbo yote yanayohusika na fedha fed ajili ya malipo halali halanayo wao. Leseni za viwanda na takwimu,umu yamu wanayo wao. Maliasi Mali ya mafuta pamoja na mafuta",1.0
12,U Uja wa Old Trafford.. ambao walitawadwad mabingwa wa Bundesliga Bundesliga iliyopita walionekanakana watashindanda tim yao ya ya m mulizoizo wangesliga baada ya kufungafungao matatu mapema lakini Hoffenheim wali waudifanya udwazisha waao yote hivyo timu hizo kwen hizo sawen ya mabao 3 - 3 3 Akiho. Aki Guardiola amesema Hoffenheim Hofnastahil na pongeziwa kucheza vyema katika myezo huo na kuh,0.0
13,"siku inayofuataata Jamiiii Wan Wanyan ya wa Uswis Us JiATU ACHUKUK NAFASI YA VANESSA MDA KW KYE SHOW ""OW ONE "" ILIYOKUWA IAWAZE TV 1 Jokate Jowegelo amechukua nafasi ya Vanessa yadee kama mtangazaji wa wa mpya ya kituouo TV1 kilichozinduliwa leo jijini Dar es Sala Sala..wali Vanessa ndiye aliyekuwa amechukuliwa kuiwasha kipindi hicho na tayari",0.0
14,SBL inatoa msaada kwa wanafunzi wa ndani wanaochukua kozi za shahada katika v vyo vikuu vya Tanzania chini ya programu ya kampuni ijulikanayoyo [UNK] Ski Ski for Life [UNK] [UNK] Jumla ya wa wananzi 31 wa Tanzania tayari taymeshanufaika na mpangopang ambao ni sehemu ya Mfuko wa Kampuni ya Bia ya Afrika ya ( MasharikiBL Foundation ). Kwa mujibujib Mkuru Mkzi wa wa wana waziL John Wan Johncha fomu za maom,0.0
15,hiyo. Mikutano ya GE GENE NEG G VTEC kwa mwaka 2016 tayari imeshafanyika katika nchi ya Mexico na Uingereza na imekuwakuwakutanishatanidau mk wa sekta ya mafuta natasi ili kujadili jinsi jinkta hiyo inaa kuborewezawa na kuwa bor na zaidi borliko ili yao sasa. oadau mbalimbali wa sekta ya mafuta ya gesita mataifasi wakifuatilia mkutano wa mafuo na gesita,0.0
16,"cha chalimia 50 ambacho hakiwezi kudumu, Waziri wa Fedha Matia Kasaija aliwaambiabiabunge katika mji mkuu, Kampampa. Sera ya nchi ya yaweka deni katika katika vi vio salama "" itakuwa "" chan chanoto ""o mwaka u mwaka wa mwakaha kwa sababu kwa upungufunguf bajeti ya juu zaidi juuliko,vyongwa, Shirika la Fedha duniani Fedlisema. Ha li miliki ya pipo milikP / Getty Images Pato la Taifa limeongezeka kwa",1.0
17,"Hamad Masauniuni akizungumza katika mkutano wa hadharahara wa ziaraara ki kilim ikiwa lengo ni kukagua masuala ya Ulinzi na na Ua kusikilizliz maoni na kero za wananchi. Mkutano hu hu ulifanyika katika Viwanja vya Ikwiririiri wilayani Ruf Rufiji mkoaniniwani.niha Pia Wizara ya Mambo ya Ndani ya Nchi. Mbung M wa Jim wa Jim Rufiji, Mohamed Mchen Mwa, aki,umwa umriutano",0.0
18,"kupigaiga. Kiongoongo wa upinzani nchini Zambia Zambia Hakaindendechichi, am amuh u tume ya uchaguzi nchini humo kwamba ime kwambarikiana na chama tawala Patriotic Front, kufanya udanganyifuangan uchaguzi uliofanyika alyikisi iliyopita. Chama cha Hakainde cha Halema, kimchiondoa kwenye mchaoa kwenye wa kuhakiki kura, kutokana kura madaina udanganyi ya. Hakainde Hichilema amb",0.0
19,"wetu hawajatjat maelezo ya moja kwa moja kuwa it itwepopo la la [UNK] Inaonekana ligi ya Tanzania imekuwa ngumu, maana mmecheza soka sa sa sikutegemeeme, maanaaona katika msimamo wa ligi ligi ime nafasi za chini, naamini mtafanya vizuri iki iki mtacheza namna hii,, alisema..wa ni baadhi ya wasanii wanaodaiwa kuwa kuwamba m w... Pindi ChanaMwenMwen wa,di ya dilam ligi na",1.0
20,hai zaidi ya 600 wa kundi la watu we we imani ya ya ya Freemasmas wakiwa wanatokana na watu watu kada mbalimbali wa wa.. Jeshi la polisi mkoa mkoa Shinyanga limefanikiwa ku kuta silaha ya kivitavita ya AK - 47 iliyotupwa na na wanaodaoda kuwa ni maja majazi wa... MATOKEO YA SIMBABA KAGERA SUGARRAKO HAPA Timu ya Simbaba klabu imeibamiza bao bao - 1 1u ya Ka Ka Sugar katika,0.0
21,"na nalama, wimbi la wahamiajiji.adilikoili tabia - nchi, nchi, ya Korea ya Ka yazini juu ya mpango wakepang silaha za nyuklia na uwezekano wa mapambano yambannaharakati wanaopinga utandaingazi na ubepari. Inawe.na vipi ku viji kwambatumiakuu wa serikali ya serijerumani, pamoja na nchi nyingine na G - 20, wataweza kupa wat wasaa kupa kushughulikia mataghzo ya Afrikaifaliyoshindikana kwa m",0.0
22,"JUMA UWE W WYEEPUMUMIKO YA AMANI NA FURAHA.... - Cha Cha chako kupumzika kwa kunywa pombembe yaenyeji komoni komon ulan, au Pombe yambeasa kwa jina la jinaa IJUMAA NA MWISHO MWEMAEMA JUMA Kipozi : Uhuru wauari si ariotoshaji -ha Mwand - MwandaU - - Wilaya ya Bagamoyo ambaye pia amb mwa piaaba mwa, Ahmedapozi amesema kuwa uhuru wa vyombo vya habari maana yake si upoto yake",0.0
23,"mapacha ina inawezana tu kama kama familia familia ukoooonu mna asili ya yata tafs, kama hamnana wewe sahau kuwapata. Kutokana na maendeleo ya yansi na teknol teknol wataalamu wauya wame wa kuelezea mamzea mabali mali yanapyaweza kuchangza mtuiayote kupa na watte mapacha. Mbalicha hilo kuna na ya wanawake ambao wawak wanauwezekanonauubwa sana wa kupata mapacha",0.0
24,". ni jam jam gani hasa lililosababisha ku kuea upotoshaji wa dini ndani ya dini hii ya Kikristo? Wakristo walipokuwa wa washi katika zamamaazo Isa ( a. s ) alikuwa )ari ameshapaishwa mbinguni na Mola wake, jukumu lauling kwanza dini lilishikwa na mitume pamoja na wafuasi wake ( Hawariyyuun ),uunliokuwepo kwa ajili yake ndani ya yake ndani hizo, na hizo, na mitume na wafuasi hao kup",1.0
25,"wa Chembabajiasharaara Viwanda ya Korea ( Korea Chamber of Commerce Commerce Industries KCCI ), ambapo Waziri Mahiga aliwasisitiza kuja Dar es esam kuangaanga fursasaliz lio ili kuwa iliishi wanachama wao kutafuta bidhaa na masoko nchini Tanzaniako Akielezea umuhzea wa KCimu kuzuru Tanzania na kujifu ku sokfu la biashara, Bw. Edwin Rutageruka Mkurugen Mk Mkuu wa TAuuRADE aliyeongozana naongojumbe wa Mhes wa M Waziri Mahiga",1.0
26,". Baoko mita 500 500 ya ardhi + Video Sehemuu Barua ya Kiongozi Muadhadhu u vijana wa Magharibi ( Video ) Part 2 » Muonekano wa mbele Akiwa katika ofisi yake ya nyumbani, kuna kuna ya yafanyia mikutano, Salon,,, na sehemu ya mazoezi. Ukifika wakati wa waosi kwa wageni. Kitanda chakeke kulala Nimeamini kuwa ukifanya kazi ya Mungu kwa uaminifu naye at",1.0
27,Hamisi Kigwangalla ( (hoto ) )m mbisha Spika wa Bunge la Jamhurihuri Mu Muo wa Tanzania Tanzania Job Ndugai ny nyni kwa... SIMBA YAABIDHIWA MILIONI 100 100 SPORTPESA - MABINGWA wa Tanzania klabu ya Simbabakabidhiwa hundi ya S S. Milioni 100 na kampuniuni Sport Sportesa Tanzania Tanzania ya ku kua ubingwa wa Ligi Kuu Tanzania... - SERIKALIIAWATAKA WADAA WA NGOssUENDELEA KUTEKKEZA SEA SEILI ILO CH,1.0
28,"WAKATITIA AWAU WILAYA YA UVINZA Hal Haliri ya Wilaya Wilaya yavinza inaendelealea m mkatoo kuwaajiaji watendaji 10 wa vijiji. Kwa mu muu wa maelezlez ya yaisa Utumishi, anataratara kuwa wamaeingizwa kwenye mfumo wa watumishi wa Serikali ( Lawson ) ndani ya m mzi huu. Wat Watji hao wamepatikana baada ya kupitia usa usa uliofanyika tarehe 27 / 12 12 2017 2017 29 / 12 / 2017.",1.0
29,"wadogo wadogo hawawezi kuendelezlez ku kujiriri sababu hawana tena uwezo wa kumudu zana, pembejeo na soko hole ya linaloendekezwa na serikali ya sasa linawawairi. Mikakatii kukuzazaira : Serikali ya NC NCR - Mageuzi itahakikisha uchumi unakuakua zaidi ya yalimi limi ya ( 8 % 8 kwa mwaka kwa kipindi cha miaka mitano ijano. Ili kuweza kufikia lengo hilo yaf",0.0
30,"lile la mtu kumwoneaeatu au shirika au aubo cha nchi kuonea na kudhalilisha wananchi, kudhoofisha uchuchu au auzorotesha maende mae yaleo ya [UNK], mwisho wa kun wau. Endapo tuapo tumini na kutafakarifa kina azimio hili la tarehe 21 Januari, 1977, bila sh bila mtakubaliana nami kuwa, licha li mafan mafan makubwa yaliyopatikanayo bad, Chamo chetu na nchi yetu inakabiliwa",0.0
31,"kile kilicho mio miongo mwetu, tuna advocate kuwhili lakini hatutenuten kile tun tunsem sem. Tunajua kabisa jinsi mfumfum wa lugha za kufundishiishi Kiswahiliwahili katika ngazi ya awal awal / primary schools ) na kiingereza katika ngazi zinazofuata ( upili / secondary, na ut ut / Tertiary ( (yu yu vikuu / vyuo vya elimu ya ya ) ulivyotuweka njia panda katika kupata umahili wa wa ya kiingerezaingereza Katika Katika",1.0
32,.iza N Nwas wa Kanyigo imeunganunganisha ndugu jamaa na mara marai katika Ibada maalumuumuanua matanga kifo cha B... Baadhi ya wanachama wa Lugoye Social Club walioweza kushiriki shughuli ya kumaliza mwaka 2017 iliyofanyika kijijini Ishozi nyumbani kwa M... Ni simanzi na huzini mk mkwa kwa familia ya Marehemhem mzeezee Joseph Josephtalemwa aliyezalizali mnamo tarehe 24. 10 10 1922 na kufariki,0.0
